Basic Terms,10 - ten,sepuluh,,10 - တဆယ်,10 - десет,四,Pebrero,Dix,10 - ສິບ,十,ដប់,10 - zehn,10 - દસ,,עֶשֶׂר,Where is the pain?,10 - दस,10 - dieci,10 - 십,sepuluh,,10 - दहा,10 - दस,ਦਸ,10 - dez,10 - десять,,10 - diez,கால்கள்,కడుపు,สิบ,8 - Sekiz,10 - Mười,
Basic Terms,0 - zero,nol,,0 င် - သုည,0 - нула,五,Marso,Zéro,0 - ສູນ,ゼロ,សូន,0 - Null,0 - શૂન્ય,,אֶפֶס,"Is it mild, moderate or severe?",0 - शून्य,0 - pari a zero,0 - 공,kosong,,0 - शून्य,0 - शून्य,ਜ਼ੀਰੋ,0 - ZERO,0 - ноль,,0 - cero,பாதங்கள்,వీపు,ศูนย์,9 - Dokuz,0 - Không,
Basic Terms,January,Januari ,,ဇန္နဝါရီလ,януари,六,Abril,janvier,ມັງກອນ,一月,មករា,Januar,જાન્યુઆરી,,יָנוּאָר,Can you point to the pain?,जनवरी,gennaio,일월/1월,Januari,,जानेवारी,जनवरी,ਜਨਵਰੀ,janeiro,январь,,enero,1 - ஒன்று,చేతులు,มกราคม,10 - on,Tháng Một,
Basic Terms,Feb,Februari,,ဖေဖော်ဝါရီ,февруари,七,Mayo,Février,ກຸມພາ,二月,កុម្ភៈ,Februar,ફેબ્રુઆરી,,פֶבְּרוּאָר,Head,फ़रवरी,febbraio,이월/2월,Februari,,फेब्रुवारी,फरवरी,ਫਰਵਰੀ,fevereiro,февраль,,febrero,2 - இரண்டு,కాళ్ళు,กุมภาพันธ์,0 - sıfır,Tháng Hai,
Basic Terms,March,Maret,,မတ်လ,март,八,Hunyo,Mars,ມີນາ,三月,មីនា,März,માર્ચ,,מֵרְץ,eyes,मार्च,marzo,삼월/3월,Mac,,मार्च,मार्च,ਮਾਰਚ,marcha,Март,,marzo,3 - மூன்று,పాదములు,มีนาคม,Ocak,Tháng Ba,
Basic Terms,April,April,,ဧပြီလ,април,九,Hulyo,Avril,ເມສາ,四月,ខែមេសា,April,એપ્રિલ,,אַפְּרִיל,ears,अप्रैल,aprile,사월/4월,April,,एप्रिल,अप्रिल,ਅਪ੍ਰੈਲ,abril,апрель,,abril,4 - நான்கு,1 - ఒకటి,เมษายน,Şubat,Tháng Tư,
Basic Terms,May,Mei,,မေလ,май,十,Agosto,Mai,ພຶດສະພາ,五月,ឧសភា,Kann,મે,,מַאי,nose,मई,Maggio,오월/5월,Mei,,मे,सक्छ,ਮਈ,Pode,май,,Mayo,5 - ஐந்து,2 - రెండు,พฤษภาคม,Mart,Tháng Năm,
Basic Terms,June,Juni,,ဇွန်လ,юни,零,Setyembre,Juin,ມິຖຸນາ,六月,មិថុនា,Juni,જૂન,,יוּנִי,mouth,जून,giugno,유월/6월,Jun,,जून,जुन,ਜੂਨ,Junho,июнь,,junio,6 - ஆறு,3- మూడు,มิถุนายน,Nisan,Tháng Sáu,
Basic Terms,July,Juli,,ဇူလိုင်လ,юли,一月 ,Oktubre,Juillet,ກໍລະກົດ,七月,ខែកក្កដា,Juli,જુલાઈ,,יוּלִי,throat,जुलाई,luglio,칠월/7월,Julai,,जुलै,जुलाई,ਜੁਲਾਈ,Julho,июль,,julio,7 - ஏழு,4 - నాలుగు,กรกฎาคม,Mayıs,Tháng Bảy,
Basic Terms,August,Agustus,,သြဂုတ်လ,август,二月,Nobyembre,Août,ສິງຫາ,八月,សីហា,August,ઓગસ્ટ,,אוֹגוּסְט,chest,अगस्त,agosto,팔월/8월,Ogos,,ऑगस्ट,अगस्ट,ਅਗਸਤ,agosto,август,,agosto,8 - எட்டு,5 - ఐదు,สิงหาคม,Haziran,Tháng Tám,
Basic Terms,September,September,,စက်တင်ဘာလ,септември,三月,Disyembre,Septembre,ກັນຍາ,九月,ខែកញ្ញា,September,સપ્ટેમ્બર,,סֶפְּטֶמְבֶּר,abdomen,सितंबर,settembre,구월/9월,September,,सप्टेंबर,सेप्टेम्बर,ਸਤੰਬਰ,setembro,сентябрь,,septiembre,9 - ஒன்பது,6 - ఆరు,กันยายน,Temmuz,Tháng Chín,
Basic Terms,October,Oktober,,အောက်တိုဘာလ,октомври,四月,,Octobre,ຕຸລາ,十月,តុលា,Oktober,ઓક્ટોબર,,אוֹקְטוֹבֶּר,back,अक्टूबर,ottobre,십월/10월,Oktober,,ऑक्टोबर,अक्टोबर,ਅਕਤੂਬਰ,Outubro,октябрь,,octubre,10 - பத்து,7 - ఏడు,ตุลาคม,Ağustos,Tháng Mười,
Basic Terms,November,November,,နိုဝင်ဘာလ,ноември,五月,,Novembre,ພະຈິກ,十一月,វិច្ឆិកា,November,નવેમ્બર,,נוֹבֶמְבֶּר,arms,नवंबर,novembre,십일월/11월,November,,नोव्हेंबर,नोभेम्बर,ਨਵੰਬਰ,novembro,ноябрь,,noviembre,0 - பூஜ்யம்,8 - ఎనిమిది,พฤศจิกายน,Eylül,Tháng Mười một,
Basic Terms,December,Desember,,ဒီဇင်ဘာလ,декември,六月,,Décembre,ທັນວາ,十二月,ធ្នូ,Dezember,ડિસેમ્બર,,דֵּצֶמְבֶּר,legs,दिसंबर,dicembre,십이월/12월,Disember,,डिसेंबर,डिसेम्बर,ਦਸੰਬਰ,dezembro,Декабрь,,diciembre,ஜனவரி,9 - తొమ్మిది,ธันวาคม,Ekim,Tháng Mười hai,
,PART 2 ,,,,,七月,,,,,,,,,,"I am going to take your blood pressure now, please relax",,,문의 후 예방 조치를 취하다,,,,,,,Русский,,,பிப்ரவரி,0 - పది,,,,
FAQ,1. What is COVID-19? ,,,,,八月,,,,,,,,,,,,,대중교통을 이용하지마세요.,,,,,,,,,,மார்ச்,సున్నా,,,,
FAQ,"COVID-19 (more specifically, a coronavirus) is the disease identified as the cause of an outbreak of respiratory illness first detected in Wuhan, China",,,,,九月,,,,,,,,,,Numbers and dates,,,자기차나 택시를 이용하세요.,,,,,,,,,,ஏப்ரல்,జనవరి,,,,
FAQ,2. What are the symptoms of COVID-19?,,,,,十月,,,,,,,,,,1,,,"차안에서, 마스크 쓰고 혼자서 뒤쪽에 앉으세요.",,,,,,,,,,மே,ఫిబ్రవరి,,,,
FAQ,"The most common symptoms are fever, tiredness and dry cough. Some patients also have runny nose, sore throat or diarrhoea. These symptoms are usually mild and begin gradually.
Some people become infected but remain asymptomatic.
It can however, also cause lung infection, or pneumonia.",,,,,十一月,,,,,,,,,,2,,,차창문을 열고 에이어콘을 끄십시오.,,,,,,,,,,ஜூன்,మార్చి,,,,
FAQ,3. How does COVID-19 spread?,,,,,十二月,,,,,,,,,,3,,,"만약 면봉시험을 양성을 보이면, 택시나 개인 쓰던 차를 쓰시고 접촉자 추적 조사위해 영수증을 꼭 가지고 가세요.",,,,,,,,,,ஜூலை,ఏప్రిల్,,,,
FAQ,"People can catch COVID-19 from others who have the virus. The virus spreads via respiratory droplets (sharing saliva, utensils, being in close contact or through direct contact with droplets on surfaces and materials).",,,,,,,,,,,,,,,4,,,집에서 격리하세요. 법적으로 의료관련 제외이상 집을 나가는 것을 금지합니다.,,,,,,,,,,ஆகஸ்ட்,మే,,,,
FAQ,4. What is the test for COVID-19 like?,,,,,看诊后，要注意什么,,,,,,,,,,5,,,"예약이 필요한 경우, 예약 날짜 전에 의료진에게 최근 COVID-19 검사를 받았음을 통지하고 (있는 경우) 증상이 나타납니다. 예약 날짜 전에 63448222로 전화하여 인민회에 연락하여 그들에게 통지해야 합니다.",,,,,,,,,,செப்டம்பர்,జూన్,,,,
FAQ,"It is a swab test inserted in your nostril or at the back of your throat. It will last about 10 seconds. There might be a slight discomfort, however it is not significantly painful.",,,,,请避免使用公共交通,,,,,,,,,,6,,,"당신의 가족들의 건강을 감독해 달라고 요청하세요. 만약 열이 나거나 호흡기 증상이 있다면, 예를 들어 기침, 목 통증이나 호흡이 짧은 경우 등은 그들에게 수술 마스크를 착용하고 어떤 일반의사 클리닉을 방문하도록 권유해야 한다. 가족들은 집업의들에게 그들의 여행 경력을 알리거나 당신에게 연락해야 합니다.",,,,,,,,,,அக்டோபர்,జూలై,,,,
FAQ,5. What happens if I am tested positive for COVID-19?,,,,,您可以乘坐私人交通工具或者乘坐德士（出租车）/私召车,,,,,,,,,,7,,,격리할 때,,,,,,,,,,நவம்பர்,ఆగస్టు,,,,
FAQ,"Arrangements will be made for you to be warded or sent to a community isolation facility, to be placed under observation. You will be observed for deterioration. You might require X-Rays and blood tests as well. Repeated testing of your respiratory samples (via nose or throat) will be done on a regular basis, usually 24 hours apart. If you test negative twice consecutively, you can be discharged back to your home/dorm to continue 2 weeks of isolation at home.",,,,,上车时请戴上口罩，并独自坐在车后,,,,,,,,,,8,,,집에 별도의 방을 두는 것은 세입자와의 교감을 최소화할 수 있도록 화장실을 첨부하는 것이 좋습니다. 공용 화장실을 사용하면 만진 표면은 사용 전후에 지워야 합니다.,,,,,,,,,,டிசம்பர்,సెప్టెంబర్,,,,
FAQ,6. Will I die from COVID-19?,,,,,打开车窗并关掉冷气/空调,,,,,,,,,,9,,,"음식, 물, 그리고 다른 용품들을 방 밖으로 모으고 가지고 들어갈 수 있도록 배치합니다.",,,,,,,,,,,అక్టోబర్,,,,
FAQ,"It is normal to worry about how COVID-19 might affect you or your loved ones. In 80% of cases, infections from COVID-19 are usually mild and do not even need any treatment. There is a chance of deterioration due to the virus, which happens more commonly in the elderly population or in those with significant pre-existing medical conditions. Only 5% of patients will require ICU care including breathing support or medications to support their blood pressure.",,,,,请向您的德士或私召车司机索取收据。如果您的冠状病毒测试结果是阳性的，我们必须追踪所有和您接触过的人。收据会对我们有帮助,,,,,,,,,,10,,,"가족, 특히 집안 어른과의 접촉을 최소화하고 당신이 테스트 음성결과를 알아낼 때까지 기다리세요.",,,,,,,,,,,నవంబర్,,,,
FAQ,7. Is there a treatment for COVID-19?,,,,,"您自己要实行居家隔离。法律规定：除非是要处理与医疗相关的事, 这整个病假期间您不能离开家。",,,,,,,,,,0,,,자기의 건강을 잘 관리하새요.,,,,,,,,,,,డిసెంబర్,,,,
FAQ,"Most cases of COVID-19 infections do not require any treatment, and only require medications to alleviate symptoms. There is currently no established treatment for the 5% of patients with severe disease, however there are many clinical trials ongoing which have shown variable success. Even though there is no established treatment, if you do develop severe disease, you will still receive breathing support and will be given medications to support your blood pressure.",,,,,在还没获得您的冠状病毒测试结果之前，如果您需要去看医生或复诊，请通知医护人员您近期验过冠状病毒，而且有什么症状。在预约日期前，您也应该拨打6344 8222 通知人民协会。,,,,,,,,,,January,,,"좋은 개인위생 위해 특히 손을 슀을때 비누와 상수도를 쉬세요. 기침과 재채기 할 때 소매로 감고 눈, 코, 입을 손으로 만지마세요.",,,,,,,,,,,,,,,
FAQ,8. How much do I have to pay for my treatment?,,,,,请您叮嘱您的家人留意自己的身体状况。若他们有发烧或呼吸道症状，例如咳嗽、喉咙痛或呼吸困难，请吩咐他们戴上外科口罩，并立刻前往诊所求诊。 若他们之前有出国，或与您有近距离的接触，也请他们通知医生。,,,,,,,,,,Feb,,,"음식, 토기, 용구, 기타 개인 위생 물품을 함께 사용하지 마세요.",,,,,,,,,,,,,,,
FAQ,"As of Singapore Government's announcement on 7 March 2020, if you are a Singapore Citizen, Singapore resident OR a long term pass holder, your hospital bill will be covered by the Government. This does not apply if you have left Singapore after 27 March 2020 and you are admitted as a suspected COVID-19 case within 14 days of returning.",,,,,,,,,,,,,,,March,,,약을 계속 복용합니다(있는 경우).,,,,,,,,,,,"బస్సు, మెట్రో, లాంటి పబ్లిక్ ట్రాన్స్ పోర్ట్ లో వెళ్ళవద్దు",,,,
FAQ,9. I am worried about missing so much work. Will my boss fire me?,,,,,当您在自我隔离时,,,,,,,,,,April,,,물을 충분히 섭취하세요.,,,,,,,,,,,మీసొ0త బండి లో గాని టాక్సీలో గాని గ్రాబ్లో గాని ప్రయాణి0చగలరు.,,,,
